Education,Initial_Capital,Financial_Record_Keeping,Internet_Usage,Business_Plan,Marketing_Effort,Partnership,Parent_Business_Experience,Industry_Experience,Professional_Advice,Success
3,0,0,0,0,5,1,1,5,3,0
4,1,1,0,0,7,1,1,4,7,0
1,0,1,1,0,7,0,0,19,2,0
1,0,1,1,1,5,1,0,1,2,0
1,1,1,0,1,3,0,1,3,1,0
1,1,1,0,1,7,0,0,4,7,1
4,1,1,0,0,7,1,1,5,3,0
3,1,0,0,1,6,0,0,5,1,0
2,0,1,1,0,4,0,0,14,3,0
3,1,1,0,1,7,1,0,3,1,0
2,0,0,1,0,5,0,0,19,7,0
1,0,1,0,0,6,0,0,9,2,0
1,1,1,0,1,6,0,0,11,2,1
2,0,0,0,0,3,1,1,10,6,0
2,1,0,0,1,1,0,1,3,5,0
5,0,0,1,1,5,1,1,3,5,0
2,0,0,1,1,1,1,0,2,6,0
4,0,0,1,0,6,1,0,16,5,0
2,1,1,1,0,2,1,1,10,5,1
3,0,0,1,0,2,0,1,0,7,0
5,1,0,0,1,2,1,0,1,2,0
1,1,0,0,1,3,0,1,12,7,0
1,1,1,0,0,6,1,0,6,4,0
3,1,0,0,0,3,1,0,7,7,0
4,0,1,0,0,2,0,1,6,7,0
2,1,1,1,1,2,0,0,20,2,1
3,0,1,0,1,6,1,1,5,7,0
2,0,1,0,0,5,0,0,20,7,0
1,1,0,1,0,1,1,0,19,6,0
4,1,1,1,1,2,1,1,10,2,1
4,1,0,0,1,6,1,1,13,6,1
5,0,1,1,0,2,1,0,12,7,0
2,1,1,0,1,6,0,0,2,1,0
5,0,0,0,1,6,1,1,12,5,0
2,1,0,0,0,5,0,0,12,3,0
4,1,1,1,0,1,0,1,14,7,1
3,1,1,0,1,2,1,1,11,5,1
2,1,0,0,1,5,1,0,20,7,0
2,1,0,1,1,1,0,0,16,6,1
1,0,0,0,1,6,1,0,6,2,0
5,0,1,0,1,2,1,0,19,5,0
1,0,0,1,1,4,0,0,10,2,0
4,1,0,0,0,4,0,0,15,5,0
1,0,0,1,0,4,1,1,6,5,0
4,1,1,0,1,1,1,1,12,2,1
3,1,0,0,0,5,1,1,4,5,0
